date_time,NO2 (ppbv),O3 (ppbv),ClNO2 (ppbv)
2017/1/29 0:00,34.1983,3.6108,0.0309
2017/1/29 1:00,36.6375,0.5125,0.0172
2017/1/29 2:00,33.6650,3.0167,0.0170
2017/1/29 3:00,32.6750,3.4525,0.0184
2017/1/29 4:00,32.7442,3.7383,0.0181
2017/1/29 5:00,30.1442,5.5917,0.0170
2017/1/29 6:00,22.6625,12.0700,0.0052
2017/1/29 7:00,30.5525,4.4958,0.0079
2017/1/29 8:00,25.0667,11.2567,0.0070
2017/1/29 9:00,20.4000,16.0900,0.0080
2017/1/29 10:00,15.1275,22.7958,0.0035
2017/1/29 11:00,8.9717,29.4942,0.0010
2017/1/29 12:00,8.0908,31.5708,0.0009
2017/1/29 13:00,7.8783,33.2050,0.0009
2017/1/29 14:00,8.2342,34.2858,0.0011
2017/1/29 15:00,10.4992,33.3675,0.0018
2017/1/29 16:00,12.2025,31.9125,0.0034
2017/1/29 17:00,18.7125,24.3275,0.0147
2017/1/29 18:00,23.9492,17.7000,0.0355
2017/1/29 19:00,31.6792,8.4350,0.0392
2017/1/29 20:00,37.5583,2.8767,0.0325
2017/1/29 21:00,37.9200,1.8400,0.0235
2017/1/29 22:00,40.1925,0.8475,0.0170
2017/1/29 23:00,37.3350,2.5217,0.0167
2017/1/30 0:00,39.0989,0.9117,0.0172
2017/1/30 1:00,39.5960,0.0342,0.0100
2017/1/30 2:00,38.3908,0.2683,0.0154
2017/1/30 3:00,36.0008,0.9967,0.0183
2017/1/30 4:00,31.6800,6.8450,0.0095
2017/1/30 5:00,34.8525,3.2758,0.0099
2017/1/30 6:00,38.3808,0.1408,0.0086
2017/1/30 7:00,38.8550,0.2717,0.0162
2017/1/30 8:00,33.8033,7.7783,0.0039
2017/1/30 9:00,33.1183,11.2642,0.0111
2017/1/30 10:00,23.7458,19.7867,0.0069
2017/1/30 11:00,12.7325,30.7958,0.0075
2017/1/30 12:00,18.5542,26.3858,0.0031
2017/1/30 13:00,17.0250,29.1850,0.0023
2017/1/30 14:00,13.6092,34.1633,0.0027
2017/1/30 15:00,8.2092,39.0192,0.0041
2017/1/30 16:00,24.0333,25.4292,0.0106
2017/1/30 17:00,27.0550,20.9367,0.0365
2017/1/30 18:00,27.2808,19.4200,0.1307
2017/1/30 19:00,17.8958,23.8942,0.2236
2017/1/30 20:00,18.9992,22.3174,0.2770
2017/1/30 21:00,21.7300,17.5480,0.3253
2017/1/30 22:00,29.4067,11.2550,0.3027
2017/1/30 23:00,38.4533,2.2592,0.2374
2017/1/31 0:00,39.0742,2.1225,0.2182
2017/1/31 1:00,32.2208,5.2942,0.2898
2017/1/31 2:00,28.4592,6.9500,0.3242
2017/1/31 3:00,14.8942,19.1892,0.4098
2017/1/31 4:00,11.2242,21.3975,0.3859
2017/1/31 5:00,12.3667,19.2317,0.4231
2017/1/31 6:00,16.0492,15.8983,0.4297
2017/1/31 7:00,10.9225,19.5517,0.4326
2017/1/31 8:00,9.9517,20.4675,0.3764
2017/1/31 9:00,10.3592,21.4608,0.2524
2017/1/31 10:00,10.2700,22.7383,0.1065
2017/1/31 11:00,9.2858,24.7975,0.0351
2017/1/31 12:00,7.6942,27.3867,0.0102
2017/1/31 13:00,7.5275,27.4925,0.0056
2017/1/31 14:00,8.5608,29.9333,0.0057
2017/1/31 15:00,12.4800,24.9450,0.0106
2017/1/31 16:00,11.4300,21.4858,0.0143
2017/1/31 17:00,16.7683,16.3208,0.0414
2017/1/31 18:00,14.1050,16.7417,0.1168
2017/1/31 19:00,17.6525,13.1850,0.2392
2017/1/31 20:00,19.9650,10.1792,0.3267
2017/1/31 21:00,25.8375,4.6642,0.3619
2017/1/31 22:00,28.2700,2.1667,0.3703
2017/1/31 23:00,28.5300,1.5608,0.3816
2017/2/1 0:00,29.2707,0.6783,0.4286
2017/2/1 1:00,28.9300,0.7483,0.4430
2017/2/1 2:00,30.2758,0.1083,0.3730
2017/2/1 3:00,28.4350,0.3958,0.4792
2017/2/1 4:00,28.7200,0.1175,0.4541
2017/2/1 5:00,27.1542,0.8017,0.6383
2017/2/1 6:00,23.0925,3.2883,0.9653
2017/2/1 7:00,28.0400,0.5300,0.6677
2017/2/1 8:00,24.2067,3.9550,0.7364
2017/2/1 9:00,17.9450,10.7433,0.5702
2017/2/1 10:00,13.9533,17.2717,0.3365
2017/2/1 11:00,16.7467,18.3900,0.1453
2017/2/1 12:00,20.1767,20.6183,0.0440
2017/2/1 13:00,14.8267,27.6875,0.0106
2017/2/1 14:00,17.8208,27.6108,0.0085
2017/2/1 15:00,21.6658,25.8667,0.0128
2017/2/1 16:00,25.5875,21.9125,0.0228
2017/2/1 17:00,31.7967,14.7950,0.0636
2017/2/1 18:00,41.3442,4.3942,0.1776
2017/2/1 19:00,44.9642,0.5825,0.1816
2017/2/1 20:00,44.9675,0.3359,0.2430
2017/2/1 21:00,42.6567,0.1180,0.3345
2017/2/1 22:00,43.5083,0.1608,0.3105
2017/2/1 23:00,42.9475,0.0617,0.2802
2017/2/2 0:00,41.8017,0.0525,0.2516
2017/2/2 1:00,36.6558,1.4558,0.5225
2017/2/2 2:00,37.9583,1.1100,0.5669
2017/2/2 3:00,38.2725,0.0633,0.3215
2017/2/2 4:00,37.5567,0.0458,0.2557
2017/2/2 5:00,37.1125,0.3458,0.3104
2017/2/2 6:00,34.0775,0.8750,0.4992
2017/2/2 7:00,34.8208,0.6633,0.4827
2017/2/2 8:00,31.2217,4.8250,0.4134
2017/2/2 9:00,34.3000,8.2767,0.2633
2017/2/2 10:00,34.1983,11.1025,0.1745
2017/2/2 11:00,38.1758,10.8692,0.0834
2017/2/2 12:00,30.9542,15.8742,0.0423
2017/2/2 13:00,28.1500,18.6050,0.0306
2017/2/2 14:00,24.4858,23.1492,0.0206
2017/2/2 15:00,21.0992,26.1258,0.0231
2017/2/2 16:00,19.7433,28.5308,0.0304
2017/2/2 17:00,26.7658,20.6450,0.0745
2017/2/2 18:00,41.9350,4.3450,0.1513
2017/2/2 19:00,36.4242,7.6325,0.2086
2017/2/2 20:00,39.7675,4.2825,0.2598
2017/2/2 21:00,33.9967,6.6508,0.3641
2017/2/2 22:00,41.9075,0.6258,0.2754
2017/2/2 23:00,39.5700,0.3208,0.2242
