,省,市县,经度,纬度,编号
1827,福建省,福建建宁 经度,116.82,26.85,25
1828,福建省,福建泰宁 经度,117.15,26.92,25
1829,福建省,福建明溪 经度,117.18,26.36,25
1830,西藏自治区省,西藏自治区拉萨 经度,91.11,29.97,26
1831,西藏自治区省,西藏自治区林周 经度,91.24,30.2,26
1832,西藏自治区省,西藏自治区当雄 经度,91.05,30.51,26
1833,西藏自治区省,西藏自治区墨竹工卡 经度,91.77,29.77,26
1834,西藏自治区省,西藏自治区尼木 经度,90.14,29.44,26
1835,西藏自治区省,西藏自治区米林 经度,94.13,29.18,26
1836,西藏自治区省,西藏自治区墨脱 经度,95.26,29.22,26
1837,西藏自治区省,西藏自治区达孜 经度,91.39,29.63,26
1838,西藏自治区省,西藏自治区曲水 经度,90.7,29.39,26
1839,西藏自治区省,西藏自治区堆龙德庆 经度,90.96,29.67,26
1840,西藏自治区省,西藏自治区林芝 经度,94.25,29.59,26
1841,西藏自治区省,西藏自治区工布江达 经度,93.25,29.92,26
1842,西藏自治区省,西藏自治区那曲 经度,92.1,31.47,26
1843,西藏自治区省,西藏自治区巴青 经度,94.1,31.96,26
1844,西藏自治区省,西藏自治区比如 经度,93.68,31.53,26
1845,西藏自治区省,西藏自治区班戈 经度,90.05,31.35,26
1846,西藏自治区省,西藏自治区嘉黎 经度,93.46,30.63,26
1847,西藏自治区省,西藏自治区聂荣 经度,92.3,31.08,26
1848,西藏自治区省,西藏自治区索县 经度,93.71,31.92,26
1849,西藏自治区省,西藏自治区安多 经度,91.68,32.29,26
1850,西藏自治区省,西藏自治区申扎 经度,88.7,30.94,26
1851,西藏自治区省,西藏自治区吕都 经度,97.14,31.18,26
1852,西藏自治区省,西藏自治区贡觉 经度,98.29,30.86,26
1853,西藏自治区省,西藏自治区左贡 经度,97.9,29.68,26
1854,西藏自治区省,西藏自治区察隅 经度,97.49,28.62,26
1855,西藏自治区省,西藏自治区洛隆 经度,95.76,30.81,26
1856,西藏自治区省,西藏自治区丁青 经度,95.63,31.42,26
1857,西藏自治区省,西藏自治区波密 经度,95.75,29.92,26
1858,西藏自治区省,西藏自治区江达 经度,89.19,31.53,26
1859,西藏自治区省,西藏自治区察雅 经度,97.56,30.69,26
1860,西藏自治区省,西藏自治区芒康 经度,98.68,29.64,26
1861,西藏自治区省,西藏自治区八宿 经度,96.95,30.04,26
1862,西藏自治区省,西藏自治区边坝 经度,94.69,30.94,26
1863,西藏自治区省,西藏自治区类乌齐 经度,96.57,31.2,26
1864,西藏自治区省,西藏自治区乃东 经度,91.76,29.18,26
1865,西藏自治区省,西藏自治区加查 经度,92.6,29.09,26
1866,西藏自治区省,西藏自治区曲松 经度,92.11,29.08,26
1867,西藏自治区省,西藏自治区错那 经度,91.91,27.98,26
1868,西藏自治区省,西藏自治区穷结 经度,91.65,29.04,26
1869,西藏自治区省,西藏自治区贡嘎 经度,90.96,29.25,26
1870,西藏自治区省,西藏自治区浪卡子 经度,90.33,29.96,26
1871,西藏自治区省,西藏自治区桑日 经度,92.0,29.26,26
1872,西藏自治区省,西藏自治区朗县 经度,93.11,29.06,26
1873,西藏自治区省,西藏自治区隆子 经度,92.42,28.46,26
1874,西藏自治区省,西藏自治区措美 经度,91.4,28.49,26
1875,西藏自治区省,西藏自治区洛扎 经度,90.83,28.42,26
1876,西藏自治区省,西藏自治区扎囊 经度,91.26,29.22,26
1877,西藏自治区省,西藏自治区日喀则 经度,88.82,29.28,26
1878,西藏自治区省,西藏自治区定结 经度,87.77,28.38,26
1879,西藏自治区省,西藏自治区拉孜 经度,87.62,29.1,26
1880,西藏自治区省,西藏自治区聂拉木 经度,85.94,28.19,26
1881,西藏自治区省,西藏自治区谢通门 经度,88.25,29.43,26
1882,西藏自治区省,西藏自治区仲巴 经度,84.15,29.66,26
1883,西藏自治区省,西藏自治区康马 经度,89.67,28.57,26
1884,西藏自治区省,西藏自治区亚东 经度,88.93,27.55,26
1885,西藏自治区省,西藏自治区岗巴 经度,88.5,28.29,26
1886,西藏自治区省,西藏自治区南木林 经度,89.02,29.71,26
1887,西藏自治区省,西藏自治区萨迦 经度,88.0,28.87,26
1888,西藏自治区省,西藏自治区定日 经度,87.11,28.57,26
1889,西藏自治区省,西藏自治区吉隆 经度,85.29,28.94,26
1890,西藏自治区省,西藏自治区昂仁 经度,87.22,29.3,26
1891,西藏自治区省,西藏自治区江孜 经度,89.63,28.94,26
1892,西藏自治区省,西藏自治区仁布 经度,89.77,29.21,26
1893,西藏自治区省,西藏自治区白朗 经度,89.16,29.11,26
1894,西藏自治区省,西藏自治区萨嘎 经度,85.3,29.38,26
1895,西藏自治区省,西藏自治区噶尔 经度,80.0,32.08,26
1896,西藏自治区省,西藏自治区革吉 经度,81.13,32.45,26
1897,西藏自治区省,西藏自治区扎达 经度,79.76,31.47,26
1898,西藏自治区省,西藏自治区措勤 经度,85.16,31.06,26
1899,西藏自治区省,西藏自治区日上 经度,79.61,33.44,26
1900,西藏自治区省,西藏自治区改则 经度,84.1,32.33,26
1901,西藏自治区省,西藏自治区普兰 经度,81.18,30.37,26
1902,贵州省,贵州贵阳 经度,106.71,26.57,27
1903,贵州省,贵州六盘水 经度,104.82,26.58,27
1904,贵州省,贵州水城 经度,104.82,26.58,27
1905,贵州省,贵州盘县 经度,104.64,25.81,27
1906,贵州省,贵州六枝 经度,105.47,26.21,27
1907,贵州省,贵州遵义 经度,106.9,27.7,27
1908,贵州省,贵州绥阳 经度,107.19,27.95,27
1909,贵州省,贵州道真 经度,107.6,28.89,27
1910,贵州省,贵州凤冈 经度,107.72,27.97,27
1911,贵州省,贵州余庆 经度,107.88,27.22,27
1912,贵州省,贵州赤水 经度,105.69,28.57,27
1913,贵州省,贵州桐梓 经度,106.8,28.16,27
1914,贵州省,贵州正安 经度,107.43,28.56,27
1915,贵州省,贵州务川 经度,107.87,28.54,27
1916,贵州省,贵州湄潭 经度,107.5,27.76,27
1917,贵州省,贵州仁怀 经度,106.41,27.81,27
1918,贵州省,贵州习水 经度,106.2,28.33,27
1919,贵州省,贵州铜仁 经度,109.21,27.73,27
1920,贵州省,贵州玉屏 经度,108.91,27.24,27
1921,贵州省,贵州思南 经度,108.23,27.94,27
1922,贵州省,贵州德江 经度,108.13,28.27,27
1923,贵州省,贵州万山 经度,109.2,27.52,27
1924,贵州省,贵州江口 经度,108.82,27.68,27
1925,贵州省,贵州师阡 经度,108.24,27.52,27
1926,贵州省,贵州印江 经度,108.41,28.02,27
1927,贵州省,贵州沿河 经度,108.48,28.57,27
1928,贵州省,贵州松桃 经度,109.18,28.17,27
1929,贵州省,贵州毕节 经度,105.29,27.32,27
1930,贵州省,贵州黔西 经度,106.04,27.03,27
1931,贵州省,贵州织金 经度,105.76,26.66,27
1932,贵州省,贵州赫章 经度,104.71,27.13,27
1933,贵州省,贵州大方 经度,105.61,27.16,27
1934,贵州省,贵州金沙 经度,106.22,27.46,27
1935,贵州省,贵州钠雍 经度,105.38,26.77,27
1936,贵州省,贵州威宁 经度,104.28,26.87,27
1937,贵州省,贵州安顺 经度,105.92,26.25,27
1938,贵州省,贵州息烽 经度,106.73,27.1,27
1939,贵州省,贵州清镇 经度,106.46,26.56,27
1940,贵州省,贵州普定 经度,105.75,26.32,27
1941,贵州省,贵州开阳 经度,106.95,27.06,27
1942,贵州省,贵州修文 经度,106.59,26.84,27
1943,贵州省,贵州平坝 经度,106.26,26.42,27
1944,贵州省,贵州镇宁 经度,105.75,26.08,27
1945,贵州省,贵州紫云 经度,106.06,25.75,27
1946,贵州省,贵州关岭 经度,105.62,25.94,27
1947,贵州省,贵州兴义 经度,104.91,25.1,27
1948,贵州省,贵州普安 经度,104.96,25.79,27
1949,贵州省,贵州贞丰 经度,105.63,25.39,27
1950,贵州省,贵州望谟 经度,106.09,25.17,27
1951,贵州省,贵州册亭 经度,105.79,25.0,27
1952,贵州省,贵州安龙 经度,105.49,25.11,27
1953,贵州省,贵州兴仁 经度,105.18,25.44,27
1954,贵州省,贵州晴龙 经度,105.21,25.83,27
1955,贵州省,贵州凯里 经度,107.97,26.59,27
1956,贵州省,贵州施秉 经度,108.11,27.03,27
1957,贵州省,贵州镇远 经度,108.41,27.06,27
1958,贵州省,贵州天柱 经度,109.2,26.89,27
1959,贵州省,贵州剑河 经度,108.58,26.64,27
1960,贵州省,贵州黎平 经度,109.14,26.24,27
1961,贵州省,贵州从江 经度,108.9,25.76,27
1962,贵州省,贵州麻江 经度,107.58,26.49,27
1963,贵州省,贵州黄平 经度,107.89,26.89,27
1964,贵州省,贵州三穗 经度,108.68,26.98,27
1965,贵州省,贵州岑巩 经度,108.72,27.21,27
1966,贵州省,贵州锦屏 经度,109.18,26.7,27
1967,贵州省,贵州台江 经度,108.32,26.68,27
1968,贵州省,贵州榕江 经度,108.5,25.94,27
1969,贵州省,贵州雷山 经度,108.07,26.38,27
1970,贵州省,贵州丹寨 经度,107.79,26.21,27
1971,贵州省,贵州都匀 经度,107.53,26.72,27
1972,贵州省,贵州贵定 经度,107.22,26.58,27
1973,贵州省,贵州瓮安 经度,107.48,27.08,27
1974,贵州省,贵州平塘 经度,107.55,25.83,27
1975,贵州省,贵州长顺 经度,106.45,26.03,27
1976,贵州省,贵州惠水 经度,106.66,26.14,27
1977,贵州省,贵州荔波 经度,107.88,25.42,27
1978,贵州省,贵州福泉 经度,107.51,26.7,27
1979,贵州省,贵州独山 经度,107.54,25.84,27
1980,贵州省,贵州罗甸 经度,106.74,25.43,27
1981,贵州省,贵州龙里 经度,106.98,26.46,27
1982,贵州省,贵州三都 经度,107.86,26.0,27
1983,辽宁省,辽宁沈阳 经度,123.38,41.8,28
1984,辽宁省,辽宁新民 经度,122.83,42.0,28
1985,辽宁省,辽宁辽中 经度,122.7,41.52,28
1986,辽宁省,辽宁大连 经度,121.62,38.92,28
1987,辽宁省,辽宁金县 经度,121.7,39.13,28
1988,辽宁省,辽宁复县 经度,121.97,39.63,28
1989,辽宁省,辽宁新金 经度,121.95,39.55,28
1990,辽宁省,辽宁庄河 经度,22.97,39.7,28
1991,辽宁省,辽宁长海 经度,122.58,39.28,28
1992,辽宁省,辽宁鞍山 经度,122.85,41.12,28
1993,辽宁省,辽宁海城 经度,122.75,40.85,28
1994,辽宁省,辽宁台安 经度,122.4,41.4,28
1995,辽宁省,辽宁抚顺 经度,123.97,41.97,28
1996,辽宁省,辽宁新宾 经度,125.02,41.72,28
1997,辽宁省,辽宁清原 经度,124.9,42.13,28
1998,辽宁省,辽宁本溪 经度,123.73,41.3,28
1999,辽宁省,辽宁垣仁 经度,125.33,41.28,28
2000,辽宁省,辽宁锦州 经度,121.15,41.13,28
2001,辽宁省,辽宁锦县 经度,121.35,41.17,28
2002,辽宁省,辽宁义县 经度,121.22,41.55,28
2003,辽宁省,辽宁黑山 经度,122.12,41.7,28
2004,辽宁省,辽宁北镇 经度,121.8,41.6,28
2005,辽宁省,辽宁锦西 经度,120.83,40.77,28
2006,辽宁省,辽宁兴城 经度,120.68,40.63,28
2007,辽宁省,辽宁绥中 经度,120.32,40.35,28
2008,辽宁省,辽宁丹东 经度,124.37,40.13,28
2009,辽宁省,辽宁东沟 经度,124.13,39.97,28
2010,辽宁省,辽宁岫岩 经度,123.25,40.3,28
2011,辽宁省,辽宁凤城 经度,124.05,40.47,28
2012,辽宁省,辽宁宽甸 经度,124.77,40.75,28
2013,辽宁省,辽宁阜新 经度,121.65,42.0,28
2014,辽宁省,辽宁彰武 经度,122.52,42.42,28
2015,辽宁省,辽宁营口 经度,122.18,40.65,28
2016,辽宁省,辽宁盖县 经度,122.37,40.42,28
2017,辽宁省,辽宁盘山 经度,122.03,41.02,28
2018,辽宁省,辽宁大洼 经度,122.06,41.0,28
2019,辽宁省,辽宁辽阳 经度,123.17,41.28,28
2020,辽宁省,辽宁灯塔 经度,123.34,41.43,28
2021,辽宁省,辽宁铁岭 经度,123.85,42.32,28
2022,辽宁省,辽宁开原 经度,124.03,42.53,28
2023,辽宁省,辽宁昌图 经度,124.13,42.8,28
2024,辽宁省,辽宁铁法 经度,123.5,42.48,28
2025,辽宁省,辽宁康平 经度,123.33,42.75,28
2026,辽宁省,辽宁法库 经度,123.37,42.52,28
2027,辽宁省,辽宁西丰 经度,124.7,42.77,28
2028,辽宁省,辽宁朝阳 经度,120.42,41.58,28
2029,辽宁省,辽宁建昌 经度,119.78,40.82,28
2030,辽宁省,辽宁北票 经度,120.75,41.82,28
2031,辽宁省,辽宁凌源 经度,119.37,41.27,28
2032,辽宁省,辽宁建平 经度,119.63,41.38,28
2033,重庆市,重庆重庆 经度,106.54,29.59,29
2034,重庆市,重庆綦江 经度,106.56,29.41,29
2035,重庆市,重庆长寿 经度,106.64,29.01,29
2036,重庆市,重庆南桐 经度,107.04,29.86,29
2037,重庆市,重庆合川 经度,106.28,29.26,29
2038,重庆市,重庆潼南 经度,106.22,30.03,29
2039,重庆市,重庆铜梁 经度,105.8,30.16,29
2040,重庆市,重庆壁山 经度,106.03,29.86,29
2041,重庆市,重庆荣昌 经度,106.21,29.62,29
2042,重庆市,重庆大足 经度,105.59,29.4,29
2043,重庆市,重庆永川 经度,105.71,29.75,29
2044,重庆市,重庆万盛 经度,105.91,29.38,29
2045,陕西省,陕西西安 经度,108.95,34.27,30
2046,陕西省,陕西长安 经度,108.97,34.18,30
2047,陕西省,陕西铜川 经度,109.11,35.09,30
2048,陕西省,陕西耀县 经度,108.98,34.91,30
2049,陕西省,陕西宝鸡 经度,107.15,34.38,30
2050,陕西省,陕西凤翔 经度,107.39,34.53,30
2051,陕西省,陕西千阳 经度,107.13,34.65,30
2052,陕西省,陕西陇县 经度,106.86,34.91,30
2053,陕西省,陕西麟游 经度,107.8,34.69,30
2054,陕西省,陕西岐山 经度,107.63,34.46,30
2055,陕西省,陕西浮风 经度,107.87,34.38,30
2056,陕西省,陕西武功 经度,108.22,34.28,30
2057,陕西省,陕西眉县 经度,107.76,34.29,30
2058,陕西省,陕西太白 经度,107.3,34.09,30
2059,陕西省,陕西凤县 经度,106.51,33.93,30
2060,陕西省,陕西榆林 经度,109.77,38.3,30
2061,陕西省,陕西神木 经度,110.51,38.83,30
2062,陕西省,陕西府谷 经度,111.07,39.05,30
2063,陕西省,陕西佳县 经度,110.48,38.04,30
2064,陕西省,陕西米脂 经度,110.23,37.78,30
2065,陕西省,陕西吴堡 经度,110.73,37.49,30
2066,陕西省,陕西绥德 经度,110.24,37.49,30
2067,陕西省,陕西清涧 经度,110.15,37.11,30
2068,陕西省,陕西子洲 经度,110.05,37.45,30
2069,陕西省,陕西横山 经度,109.32,37.97,30
2070,陕西省,陕西靖边 经度,108.79,37.61,30
2071,陕西省,陕西定边 经度,107.59,37.6,30
2072,陕西省,陕西延安 经度,109.47,36.6,30
2073,陕西省,陕西安寨 经度,109.34,36.88,30
2074,陕西省,陕西子长 经度,109.65,37.16,30
2075,陕西省,陕西延川 经度,110.18,36.87,30
2076,陕西省,陕西延长 经度,110.02,36.59,30
2077,陕西省,陕西宜川 经度,110.15,36.04,30
2078,陕西省,陕西黄龙 经度,109.86,35.6,30
2079,陕西省,陕西洛川 经度,109.42,35.76,30
2080,陕西省,陕西宜君 经度,109.11,35.43,30
2081,陕西省,陕西黄陵 经度,109.27,35.6,30
2082,陕西省,陕西富县 经度,109.37,36.0,30
2083,陕西省,陕西甘泉 经度,109.37,36.29,30
2084,陕西省,陕西志丹 经度,108.78,36.84,30
2085,陕西省,陕西吴旗 经度,108.22,36.93,30
2086,陕西省,陕西咸阳 经度,108.72,34.36,30
2087,陕西省,陕西礼泉 经度,108.43,34.5,30
2088,陕西省,陕西永寿 经度,108.14,34.71,30
2089,陕西省,陕西彬县 经度,108.09,35.04,30
2090,陕西省,陕西长武 经度,107.8,35.22,30
2091,陕西省,陕西旬邑 经度,108.33,35.13,30
2092,陕西省,陕西淳化 经度,108.57,34.81,30
2093,陕西省,陕西泾阳 经度,108.84,34.53,30
2094,陕西省,陕西三原 经度,108.94,34.62,30
2095,陕西省,陕西高陵 经度,109.1,34.55,30
2096,陕西省,陕西户县 经度,108.61,34.12,30
2097,陕西省,陕西周至 经度,108.22,34.18,30
2098,陕西省,陕西兴平 经度,108.49,34.32,30
2099,陕西省,陕西乾县 经度,108.25,34.54,30
2100,陕西省,陕西渭南 经度,109.5,34.52,30
2101,陕西省,陕西蒲城 经度,109.59,34.97,30
2102,陕西省,陕西白水 经度,109.6,35.18,30
2103,陕西省,陕西成城 经度,109.93,35.2,30
2104,陕西省,陕西韩城 经度,110.45,35.47,30
2105,陕西省,陕西合阳 经度,110.15,35.24,30
2106,陕西省,陕西人荔 经度,109.96,34.82,30
2107,陕西省,陕西潼关 经度,110.25,34.56,30
2108,陕西省,陕西华阴 经度,110.09,34.58,30
2109,陕西省,陕西华县 经度,109.77,34.53,30
2110,陕西省,陕西蓝田 经度,109.32,34.17,30
2111,陕西省,陕西临潼 经度,109.22,34.38,30
2112,陕西省,陕西富平 经度,109.17,34.76,30
2113,陕西省,陕西商县 经度,109.96,33.88,30
2114,陕西省,陕西洛南 经度,110.15,34.11,30
2115,陕西省,陕西丹凤 经度,110.35,33.71,30
2116,陕西省,陕西商南 经度,110.88,33.54,30
2117,陕西省,陕西山阳 经度,109.91,33.55,30
2118,陕西省,陕西镇安 经度,109.16,33.45,30
2119,陕西省,陕西柞水 经度,109.14,33.69,30
2120,陕西省,陕西安康 经度,109.02,32.7,30
2121,陕西省,陕西旬阳 经度,109.35,32.83,30
2122,陕西省,陕西白河 经度,110.06,32.83,30
2123,陕西省,陕西平利 经度,109.37,32.41,30
2124,陕西省,陕西镇坪 经度,109.51,31.91,30
2125,陕西省,陕西岚皋 经度,108.89,32.3,30
2126,陕西省,陕西紫阳 经度,108.55,32.56,30
2127,陕西省,陕西汉阴 经度,108.53,32.9,30
2128,陕西省,陕西石泉 经度,108.26,33.05,30
2129,陕西省,陕西宁陕 经度,108.33,33.34,30
2130,陕西省,陕西汉中 经度,108.04,33.07,30
2131,陕西省,陕西留坝 经度,106.95,33.65,30
2132,陕西省,陕西城固 经度,107.32,33.16,30
2133,陕西省,陕西洋县 经度,107.56,33.23,30
2134,陕西省,陕西佛坪 经度,108.0,33.55,30
2135,陕西省,陕西西乡 经度,107.77,33.0,30
2136,陕西省,陕西镇巴 经度,107.91,32.56,30
2137,陕西省,陕西南郑 经度,106.93,33.0,30
2138,陕西省,陕西宁强 经度,106.25,32.82,30
2139,陕西省,陕西勉县 经度,106.68,33.16,30
2140,陕西省,陕西略阳 经度,106.16,33.34,30
2141,青海省,青海西宁 经度,101.74,36.56,31
2142,青海省,青海大通 经度,101.67,36.92,31
2143,青海省,青海平安 经度,102.09,36.47,31
2144,青海省,青海湟中 经度,101.57,36.49,31
2145,青海省,青海乐都 经度,102.38,36.49,31
2146,青海省,青海民和 经度,102.8,36.3,31
2147,青海省,青海湟源 经度,101.28,36.72,31
2148,青海省,青海互助 经度,101.95,36.84,31
2149,青海省,青海化隆 经度,102.3,36.11,31
2150,青海省,青海循化 经度,102.46,35.84,31
2151,青海省,青海门源 经度,101.62,37.37,31
2152,青海省,青海海晏 经度,100.99,36.89,31
2153,青海省,青海刚察 经度,100.17,37.32,31
2154,青海省,青海祁连 经度,100.22,38.2,31
2155,青海省,青海同仁 经度,102.0,35.54,31
2156,青海省,青海尖扎 经度,102.0,35.92,31
2157,青海省,青海泽库 经度,101.5,35.03,31
2158,青海省,青海河南 经度,101.62,34.75,31
2159,青海省,青海共和 经度,100.61,36.27,31
2160,青海省,青海贵德 经度,101.47,36.02,31
2161,青海省,青海贵南 经度,100.75,35.57,31
2162,青海省,青海同德 经度,100.63,35.24,31
2163,青海省,青海兴海 经度,99.99,35.6,31
2164,青海省,青海玛沁 经度,100.26,34.49,31
2165,青海省,青海甘德 经度,99.89,33.95,31
2166,青海省,青海久治 经度,101.47,33.46,31
2167,青海省,青海班玛 经度,100.73,32.92,31
2168,青海省,青海达日 经度,99.68,33.74,31
2169,青海省,青海玛多 经度,98.26,34.92,31
2170,青海省,青海玉树 经度,96.97,33.03,31
2171,青海省,青海称多 经度,97.12,33.35,31
2172,青海省,青海囊谦 经度,96.47,32.23,31
2173,青海省,青海杂多 经度,95.3,32.92,31
2174,青海省,青海治多 经度,95.6,33.86,31
2175,青海省,青海曲麻菜 经度,95.5,34.52,31
2176,青海省,青海格尔木 经度,94.9,36.41,31
2177,青海省,青海乌兰 经度,98.46,36.9,31
2178,青海省,青海都兰 经度,98.13,36.3,31
2179,青海省,青海天峻 经度,99.03,37.28,31
2180,黑龙江省,黑龙江哈尔滨 经度,126.63,45.75,32
2181,黑龙江省,黑龙江齐齐哈尔 经度,123.97,47.33,32
2182,黑龙江省,黑龙江鹤岗 经度,130.3,47.33,32
2183,黑龙江省,黑龙江双鸭山 经度,131.17,46.65,32
2184,黑龙江省,黑龙江鸡四 经度,130.97,45.3,32
2185,黑龙江省,黑龙江大庆 经度,125.03,46.58,32
2186,黑龙江省,黑龙江伊春 经度,128.92,47.73,32
2187,黑龙江省,黑龙江嘉荫 经度,130.0,48.93,32
2188,黑龙江省,黑龙江铁力 经度,128.08,47.98,32
2189,黑龙江省,黑龙江绥化 经度,127.0,46.63,32
2190,黑龙江省,黑龙江绥棱 经度,127.12,47.22,32
2191,黑龙江省,黑龙江海伦 经度,126.97,47.47,32
2192,黑龙江省,黑龙江庆安 经度,127.5,46.87,32
2193,黑龙江省,黑龙江兰西 经度,126.3,46.28,32
2194,黑龙江省,黑龙江肇东 经度,125.98,46.07,32
2195,黑龙江省,黑龙江肇州 经度,125.25,45.72,32
2196,黑龙江省,黑龙江肇源 经度,125.07,45.53,32
2197,黑龙江省,黑龙江安达 经度,125.33,46.42,32
2198,黑龙江省,黑龙江明水 经度,125.88,47.18,32
2199,黑龙江省,黑龙江青岗 经度,126.13,46.68,32
2200,黑龙江省,黑龙江望奎 经度,126.5,46.83,32
2201,黑龙江省,黑龙江黑河 经度,127.53,50.22,32
2202,黑龙江省,黑龙江爱辉 经度,127.53,50.22,32
2203,黑龙江省,黑龙江德都 经度,126.17,48.5,32
2204,黑龙江省,黑龙江通北 经度,126.8,49.76,32
2205,黑龙江省,黑龙江北安 经度,126.5,48.22,32
2206,黑龙江省,黑龙江孙吴 经度,127.5,49.22,32
2207,黑龙江省,黑龙江逊克 经度,128.42,49.57,32
2208,黑龙江省,黑龙江嫩江 经度,125.2,49.17,32
2209,黑龙江省,黑龙江佳木斯 经度,130.35,46.83,32
2210,黑龙江省,黑龙江桦川 经度,130.68,47.02,32
2211,黑龙江省,黑龙江萝北 经度,130.83,47.58,32
2212,黑龙江省,黑龙江绥滨 经度,131.83,47.3,32
2213,黑龙江省,黑龙江富锦 经度,132.02,47.23,32
2214,黑龙江省,黑龙江同江 经度,132.5,47.67,32
2215,黑龙江省,黑龙江抚远 经度,134.15,48.33,32
2216,黑龙江省,黑龙江饶河 经度,134.0,46.78,32
2217,黑龙江省,黑龙江七台河 经度,130.83,45.82,32
2218,黑龙江省,黑龙江宝清 经度,132.17,46.33,32
2219,黑龙江省,黑龙江集贤 经度,131.13,46.7,32
2220,黑龙江省,黑龙江勃利 经度,130.53,45.75,32
2221,黑龙江省,黑龙江桦南 经度,130.53,46.25,32
2222,黑龙江省,黑龙江依兰 经度,129.55,46.33,32
2223,黑龙江省,黑龙江汤源 经度,129.92,46.73,32
2224,黑龙江省,黑龙江牡丹江 经度,129.58,44.6,32
2225,黑龙江省,黑龙江林口 经度,130.23,45.3,32
2226,黑龙江省,黑龙江鸡东 经度,131.04,45.27,32
2227,黑龙江省,黑龙江密山 经度,131.85,45.53,32
2228,黑龙江省,黑龙江虎林 经度,133.97,45.75,32
2229,黑龙江省,黑龙江绥芬河 经度,131.17,44.38,32
2230,黑龙江省,黑龙江东宁 经度,131.12,44.07,32
2231,黑龙江省,黑龙江穆棱 经度,130.5,44.9,32
2232,黑龙江省,黑龙江宁安 经度,129.47,44.35,32
2233,黑龙江省,黑龙江海林 经度,129.35,44.57,32
2234,黑龙江省,黑龙江阿城 经度,126.95,45.52,32
2235,黑龙江省,黑龙江呼兰 经度,126.58,46.0,32
2236,黑龙江省,黑龙江巴彦 经度,127.38,46.08,32
2237,黑龙江省,黑龙江宾县 经度,127.48,45.75,32
2238,黑龙江省,黑龙江木兰 经度,128.03,45.95,32
2239,黑龙江省,黑龙江通河 经度,128.7,45.98,32
2240,黑龙江省,黑龙江方正 经度,128.8,45.83,32
2241,黑龙江省,黑龙江延寿 经度,128.35,45.47,32
2242,黑龙江省,黑龙江尚志 经度,127.95,45.22,32
2243,黑龙江省,黑龙江五常 经度,127.17,44.93,32
2244,黑龙江省,黑龙江双城 经度,126.32,45.53,32
2245,黑龙江省,黑龙江富裕 经度,124.4,47.8,32
2246,黑龙江省,黑龙江讷河 经度,124.85,48.48,32
2247,黑龙江省,黑龙江克山 经度,125.87,48.03,32
2248,黑龙江省,黑龙江克东 经度,126.22,48.03,32
2249,黑龙江省,黑龙江拜泉 经度,126.07,47.62,32
2250,黑龙江省,黑龙江依安 经度,125.3,47.92,32
2251,黑龙江省,黑龙江林甸 经度,124.87,47.18,32
2252,黑龙江省,黑龙江泰来 经度,123.45,46.4,32
2253,黑龙江省,黑龙江龙江 经度,123.18,47.35,32
2254,黑龙江省,黑龙江甘南 经度,123.48,47.9,32
2255,黑龙江省,黑龙江杜尔伯特 经度,124.44,46.86,32
2256,黑龙江省,黑龙江加格达奇 经度,124.07,50.42,32
2257,黑龙江省,黑龙江呼玛 经度,126.6,51.72,32
2258,黑龙江省,黑龙江塔河 经度,124.7,52.32,32
2259,黑龙江省,黑龙江漠河 经度,122.37,53.48,32
